1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420150.0589917,1603420152.4703848,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420152.7300014,1603420153.1754532,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.3071656,1603420153.719188,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420153.8480802,1603420154.2292542,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420154.3332176,1603420154.7172399,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420156.881045,1603420157.3060808,7,5,1,1
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.4341602,1603420157.8454843,8,7,1,0
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420157.9774652,1603420158.3911018,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420158.5042758,1603420158.9595795,7,4,2,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.0595465,1603420159.496472,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420159.6364737,1603420160.0675786,6,2,3,1
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.1555955,1603420160.4875946,8,4,4,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420160.5934377,1603420160.9642835,7,6,1,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420161.0375476,1603420161.3826656,7,4,3,0
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420215.1921089,1603420217.7967815,9,7,0,2
1603420218.1299593,1603420218.7583117,8,5,1,2
